λ=0.8a,λ=0.2a,λ=0.8,λ=0.2
9.336194685,7.461284029,3.151970641,3.316454785
9.486604236,7.575712363,3.171205435,3.316368737
9.507840136,7.462069337,3.166487272,3.316691074
9.624640277,7.449779722,3.147600629,3.316498976
9.326578497,7.3684713,3.16240143,3.316806984
9.451698732,7.367136674,3.164266415,3.316508901
9.49107415,7.395788404,3.157867618,3.31670987
9.529998076,7.428375589,3.160302014,3.316071284
9.429806611,7.418095882,3.164250153,3.316732079
9.209397859,7.28405063,3.166002887,3.316957356
9.372060492,7.330797861,3.166201014,3.316793472
9.389052357,7.410927859,3.161687214,3.316549472
9.327815322,7.334093839,3.162434496,3.316510004
9.239286668,7.294321719,3.15141893,3.317026683
9.093805412,7.248791518,3.147554099,3.316702651
9.354976618,7.297729045,3.171882015,3.316638756
9.42346297,7.351248564,3.166331165,3.316942278
9.118257572,7.218710466,3.167302971,3.317040454
9.285743289,7.262131468,3.158766985,3.316908317
9.136759281,7.104042866,3.174640874,3.317284212
9.093969858,7.193295536,3.172453926,3.316399781
9.303167129,7.307097097,3.141445041,3.316258674
9.411315656,7.232949795,3.173545207,3.317170607
9.393519582,7.260279249,3.167384788,3.316540774
9.216925122,7.093486468,3.162332224,3.317142829
8.984217178,7.108406169,3.182417847,3.316914506
9.04839638,7.122541895,3.171555933,3.316724641
9.278760011,7.155696996,3.161815288,3.316587617
8.970604684,7.164149598,3.173987282,3.317164602
8.920212721,7.108164224,3.16536644,3.316738789
9.082792743,7.093145103,3.164537047,3.317267798
9.070703708,7.04937896,3.17077919,3.316836261
9.329494917,7.228668828,3.167848586,3.316251303
8.947162749,7.090587119,3.171003118,3.317096318
8.953837915,6.987350539,3.165763647,3.31746103
9.002369536,7.024850253,3.164423347,3.317046449
9.053890123,7.060017059,3.161222865,3.317058316
8.952961696,6.986332087,3.155022669,3.317196223
9.071820384,7.104238072,3.169062344,3.316447527
8.988101164,7.097877898,3.168605738,3.316882346
8.991310309,7.089588424,3.177048069,3.317270049
8.965225219,6.969405999,3.177024548,3.3170234
8.853366161,7.030199258,3.157762543,3.317156944
8.836632601,6.943479036,3.174964792,3.317085369
8.976939617,6.984005899,3.171245149,3.316805629
9.097921686,7.09954116,3.16514343,3.316876736
9.074930663,7.016068236,3.150961352,3.317069099
8.848915642,6.967284727,3.174006885,3.317233715
8.981736193,6.891402587,3.180432056,3.317402291
9.054559767,6.879741217,3.160648438,3.317427199
9.10224173,6.929379479,3.187661172,3.317311974
8.988186791,6.950956626,3.17357388,3.317191825
8.852713092,6.864621326,3.164042528,3.31747025
8.822998707,6.902002226,3.177653674,3.317298442
8.946354281,6.936678916,3.167990534,3.317136563
8.794693911,6.91027701,3.180030298,3.317014024
8.849887035,6.860636595,3.16279009,3.317498974
9.06270819,6.923689302,3.161492346,3.317013309
9.068306686,6.866036429,3.183001663,3.317461393
8.666352123,6.823915552,3.162192545,3.31737643
8.821510128,6.88189311,3.181753435,3.317195405
8.773325385,6.80055884,3.168092438,3.317593398
8.823838618,6.789270151,3.174226692,3.317482777
9.044816861,6.867130981,3.153268862,3.316990728
8.74214808,6.856075966,3.160329153,3.317239379
8.92535306,6.775332771,3.164578708,3.317416848
8.757108101,6.807546765,3.169281347,3.317440383
8.913689592,6.833219951,3.155307744,3.317025727
8.832215139,6.83262969,3.183756222,3.317456067
8.891734521,6.792460784,3.173484369,3.317704366
8.738299427,6.786117165,3.167864421,3.317392687
8.612949601,6.771584354,3.184428069,3.3171463
8.744137096,6.80842604,3.167180247,3.317629279
8.781686669,6.762567929,3.168866723,3.317154762
8.979730269,6.784259288,3.164791001,3.317391036
8.722328753,6.732460188,3.171061519,3.317555144
8.815859339,6.76394548,3.174639112,3.317386676
8.683633006,6.733539854,3.158766668,3.317605168
8.6733297,6.689300387,3.146866439,3.317488495
8.728553447,6.71008442,3.165161131,3.317548221
8.699130109,6.701030275,3.174212353,3.317349292
8.887272805,6.761000066,3.166989432,3.317530841
8.774556452,6.718172203,3.158575366,3.317255192
8.532809691,6.714154593,3.171065704,3.317550437
8.778722951,6.690883353,3.179081701,3.317500159
8.698577297,6.723870999,3.153595195,3.31710066
8.789828371,6.654995482,3.181498436,3.317587295
8.693758039,6.683883472,3.149572696,3.317480344
8.63877541,6.656247153,3.184402141,3.317377958
8.772879415,6.60466624,3.174732481,3.317581823
8.562591182,6.635583128,3.15869628,3.317591355
8.633275756,6.653149736,3.187652955,3.317439303
8.655349211,6.633572989,3.17752825,3.317510171
8.676368276,6.671397652,3.188513154,3.317311786
8.55481047,6.695453687,3.175616963,3.317554672
8.487786143,6.654023695,3.172816305,3.317154211
8.56669473,6.692739843,3.175397225,3.317536718
8.462859451,6.597251254,3.167947854,3.31754122
8.67292803,6.66579945,3.164830031,3.317278982
8.472883609,6.602001177,3.15574009,3.31784386
8.633286168,6.640690781,3.171477204,3.317345557
8.71348616,6.647353706,3.180654966,3.317584937
8.568624718,6.651528981,3.186182756,3.317590925
8.412558732,6.581118236,3.160185283,3.317864223
8.485823682,6.608929859,3.173654712,3.317166371
8.594452183,6.60940648,3.162873741,3.317743044
8.477652517,6.580116108,3.184560917,3.317278517
8.578657635,6.610364785,3.164900917,3.317358842
8.687148451,6.558911462,3.171085777,3.317672974
8.912974626,6.650484392,3.165292808,3.317259716
8.342532841,6.511886899,3.1572953,3.317830768
8.542570553,6.549753571,3.172670279,3.317491204
8.715956143,6.57563497,3.162740134,3.317809591
8.578699179,6.640283367,3.178237342,3.31748067
8.524507481,6.631320586,3.160699518,3.317522118
8.672764972,6.556929609,3.170533311,3.317672451
8.652224451,6.631743329,3.158878016,3.317685316
8.403057061,6.541397896,3.17063303,3.317655072
8.589629632,6.51436484,3.153357064,3.317611296
8.485176849,6.591550625,3.162956676,3.317599126
8.723035643,6.569505317,3.154695795,3.317511599
8.46654555,6.545530994,3.165590907,3.317472296
8.490343459,6.504379223,3.171136991,3.317679731
8.544656701,6.506852429,3.138608367,3.317818601
8.530320964,6.474202147,3.152600835,3.317750719
8.309703752,6.456478403,3.181822047,3.317479609
8.488589337,6.539536769,3.159091888,3.317726626
8.566984504,6.51538276,3.173699874,3.31775655
8.455339354,6.505452676,3.172030356,3.317922456
8.417252284,6.516261941,3.144959695,3.317605124
8.548566244,6.545063112,3.177055913,3.317437581
8.535719439,6.51143035,3.142019342,3.317571944
8.41432932,6.49814073,3.180670975,3.317452185
8.428976512,6.480437313,3.180367213,3.317629098
8.477732013,6.456577832,3.147980224,3.317900629
8.532083733,6.569599894,3.168968796,3.317441062
8.503269167,6.513947314,3.178549341,3.317773582
8.326244153,6.430781585,3.155016293,3.317857643
8.327134332,6.398933658,3.172939586,3.317953407
8.524759179,6.442696367,3.174449861,3.317713149
