lambda=0.8 (izx),lambda=0.2 (izx),lambda=0.8 (izy),lambda=0.2 (izy)
9.472602245,7.330797861,6.269440077,3.316793472
11.37776145,7.410927859,4.592249718,3.316549472
9.129291844,7.334093839,4.029901089,3.316510004
7.628140344,7.294321719,5.282294012,3.317026683
7.452179073,7.248791518,6.137488906,3.316702651
10.30441514,7.297729045,3.617335611,3.316638756
6.781619667,7.351248564,5.461825134,3.316942278
9.292227594,7.218710466,6.111011807,3.317040454
10.04957243,7.262131468,5.85217396,3.316908317
9.197981536,7.104042866,5.830404066,3.317284212
9.29297999,7.193295536,5.496061418,3.316399781
8.981365053,7.307097097,4.392728405,3.316258674
8.590350024,7.232949795,4.735444178,3.317170607
10.04240272,7.260279249,4.13421056,3.316540774
9.778527795,7.093486468,4.842744829,3.317142829
8.901939466,7.108406169,4.347337078,3.316914506
10.80353184,7.122541895,5.810610091,3.316724641
11.30503149,7.155696996,6.151700448,3.316587617
11.65421964,7.164149598,5.996358217,3.317164602
8.952276285,7.108164224,4.965145118,3.316738789
10.0625674,7.093145103,6.644989062,3.317267798
9.11862434,7.04937896,6.665614913,3.316836261
7.79734943,7.228668828,5.062355032,3.316251303
8.417874394,7.090587119,4.811503305,3.317096318
8.355150509,6.987350539,7.1176047,3.31746103
8.939273209,7.024850253,6.952616823,3.317046449
8.246029499,7.060017059,2.815596148,3.317058316
7.26072688,6.986332087,4.607514505,3.317196223
9.134286227,7.104238072,5.772174993,3.316447527
9.803194531,7.097877898,5.138808855,3.316882346
8.136488785,7.089588424,5.794112507,3.317270049
9.817745822,6.969405999,5.456386757,3.3170234
8.824023499,7.030199258,5.402274202,3.317156944
8.429556154,6.943479036,5.258896179,3.317085369
10.43736652,6.984005899,3.819078304,3.316805629
9.41843303,7.09954116,5.635507567,3.316876736
8.925891093,7.016068236,4.613175945,3.317069099
8.771665057,6.967284727,5.442135706,3.317233715
8.786898811,6.891402587,5.803124034,3.317402291
7.607393133,6.879741217,6.232456758,3.317427199
7.834439984,6.929379479,5.372384885,3.317311974
9.309442636,6.950956626,6.509488089,3.317191825
7.865796811,6.864621326,4.841903188,3.31747025
10.19153303,6.902002226,4.559737929,3.317298442
8.11726098,6.936678916,3.739584253,3.317136563
8.420499573,6.91027701,5.164296415,3.317014024
8.034223873,6.860636595,6.037721936,3.317498974
9.217407915,6.923689302,5.399581929,3.317013309
8.87589908,6.866036429,5.409377825,3.317461393
10.18705626,6.823915552,4.858171906,3.31737643
8.834473951,6.88189311,5.563844934,3.317195405
7.97670351,6.80055884,4.695779697,3.317593398
9.470804524,6.789270151,3.620491179,3.317482777
9.154856903,6.867130981,3.789599767,3.316990728
9.043763456,6.856075966,5.192463973,3.317239379
8.473882397,6.775332771,4.674532688,3.317416848
9.199875794,6.807546765,4.024882296,3.317440383
7.208315619,6.833219951,5.814139057,3.317025727
9.254893048,6.83262969,7.203177838,3.317456067
8.320326474,6.792460784,5.054316706,3.317704366
9.077421256,6.786117165,4.939003716,3.317392687
9.521814816,6.771584354,6.934805516,3.3171463
9.031687499,6.80842604,5.140334768,3.317629279
8.380507544,6.762567929,5.71075417,3.317154762
9.335473554,6.784259288,5.063241868,3.317391036
9.592946413,6.732460188,6.514046587,3.317555144
9.450644096,6.76394548,5.949810039,3.317386676
9.835717553,6.733539854,6.61976984,3.317605168
8.938680727,6.689300387,4.359793862,3.317488495
9.758268912,6.71008442,5.590470585,3.317548221
9.15535475,6.701030275,5.073006644,3.317349292
6.743461591,6.761000066,6.331928247,3.317530841
8.89247331,6.718172203,6.43210991,3.317255192
7.695978813,6.714154593,3.506078306,3.317550437
8.352307464,6.690883353,7.055264375,3.317500159
7.80643012,6.723870999,4.61436878,3.31710066
7.993990736,6.654995482,6.313402559,3.317587295
5.839477042,6.683883472,3.528178483,3.317480344
9.185022628,6.656247153,4.46442374,3.317377958
8.688120821,6.60466624,5.667980318,3.317581823
9.237675423,6.635583128,3.462926975,3.317591355
8.43518231,6.653149736,6.051314761,3.317439303
10.48190356,6.633572989,3.473661204,3.317510171
10.00713286,6.671397652,5.760003477,3.317311786
10.8201037,6.695453687,4.785954142,3.317554672
8.602274303,6.654023695,4.338256509,3.317154211
8.826992311,6.692739843,4.61924201,3.317536718
7.100815966,6.597251254,4.678834858,3.31754122
8.69664133,6.66579945,5.254890441,3.317278982
9.225084883,6.602001177,5.560612996,3.31784386
8.249052123,6.640690781,5.196546194,3.317345557
6.746617516,6.647353706,5.929529814,3.317584937
7.87046833,6.651528981,4.414732097,3.317590925
8.789538575,6.581118236,4.636909683,3.317864223
7.700105022,6.608929859,7.841752348,3.317166371
9.024294252,6.60940648,5.108187562,3.317743044
7.28777426,6.580116108,5.27719893,3.317278517
10.13362133,6.610364785,6.749921828,3.317358842
9.185653899,6.558911462,4.609667938,3.317672974
9.681181525,6.650484392,6.433720413,3.317259716
8.549422407,6.511886899,3.320579074,3.317830768
9.215113645,6.549753571,4.207981489,3.317491204
7.168403007,6.57563497,3.639680959,3.317809591
9.624006686,6.640283367,4.460389212,3.31748067
11.27972296,6.631320586,3.68829057,3.317522118
7.971741924,6.556929609,5.332660758,3.317672451
9.610520149,6.631743329,6.19081993,3.317685316
9.875295455,6.541397896,5.234801766,3.317655072
8.989530666,6.51436484,4.125901579,3.317611296
