VAE-izx,CVAE-izx,lambda=0.8 (izx),lambda=0.2 (izx),VAE-izy,CVAE-izy,lambda=0.8 (izy),lambda=0.2 (izy)
8.96440134,6.650536294,16.6312135,16.63327003,1.675216638,2.844596345,3.291877025,3.29684399
8.988515353,6.659001155,16.3516634,16.34993391,1.684856097,2.843582025,3.283524948,3.296586196
8.998177905,6.658216648,16.32695235,16.32243476,1.686608488,2.848804543,3.292708661,3.295608673
8.996145272,6.682104709,15.8298478,15.84172334,1.685510343,2.84875701,3.310654679,3.299564596
9.02191318,6.677964242,15.70476074,15.70102573,1.700143133,2.853858091,3.326563991,3.299712591
9.021903143,6.704611099,15.48309811,15.48179753,1.692871245,2.853982339,3.307183548,3.299122012
9.043017554,6.720822551,15.07525971,15.08621344,1.707860173,2.856978725,3.298028959,3.301432928
9.071735387,6.725039234,14.79315581,14.78517709,1.711267493,2.857727225,3.311284935,3.302836925
9.089613318,6.72518317,14.67708108,14.69206236,1.725882615,2.861023967,3.298630278,3.301752853
9.068839407,6.73535017,14.30220525,14.28886147,1.716174055,2.859938354,3.307991541,3.304068515
9.064167089,6.761713881,14.5014366,14.51496116,1.723011566,2.86465755,3.313000162,3.301556063
9.102650332,6.760305946,14.25563648,14.25186421,1.73373929,2.868110707,3.29834682,3.303369231
9.12849915,6.775948493,13.77443535,13.76297542,1.745157477,2.866356746,3.299798523,3.305750508
9.153204322,6.773988664,13.91506281,13.92405551,1.753254882,2.870267369,3.30968711,3.303352549
9.150722976,6.781812801,13.58670656,13.58577246,1.755762826,2.873166434,3.299310628,3.304812324
9.166459656,6.796414316,13.31405586,13.31516943,1.758820891,2.873315754,3.303978751,3.305942873
9.177960162,6.808388777,13.17078006,13.16191022,1.762433735,2.87438382,3.312150252,3.306727976
9.194292669,6.81365515,13.06946559,13.06398967,1.764585024,2.876007737,3.307553358,3.306199669
9.193957405,6.826304209,13.03510248,13.03012257,1.771985658,2.8795963,3.29473138,3.306041884
9.222011547,6.846794863,12.79586318,12.80775859,1.774797982,2.880543116,3.302866522,3.30710757
9.230926185,6.845383604,12.81801383,12.81849767,1.779156298,2.88198457,3.31531136,3.306991373
9.233913836,6.839202118,12.6649567,12.66020209,1.790915363,2.885370477,3.305216409,3.306675284
